frame,action
0,reading,fear
1,reading,fear
2,reading,neutral
3,reading,neutral
4,reading,neutral
5,reading,neutral
6,reading,neutral
7,reading,neutral
8,reading,sad
9,reading,sad
10,reading,sad
11,reading,sad
12,reading,sad
13,reading,sad
14,reading,sad
15,reading,sad
16,reading,sad
17,reading,sad
18,reading,sad
19,reading,sad
20,reading,sad
21,reading,sad
22,reading,sad
23,reading,sad
24,reading,sad
25,reading,sad
26,reading,sad
27,reading,sad
28,reading,sad
29,reading,sad
30,reading,sad
31,reading,sad
32,reading,sad
33,reading,sad
34,reading,sad
35,reading,sad
36,reading,sad
37,reading,sad
38,reading,sad
39,reading,sad
40,reading,sad
41,reading,sad
42,reading,sad
43,reading,sad
44,reading,sad
45,reading,sad
46,reading,sad
47,reading,sad
48,reading,sad
49,reading,sad
50,reading,sad
51,reading,sad
52,reading,sad
53,reading,sad
54,reading,sad
55,reading,sad
56,reading,sad
57,reading,sad
58,reading,sad
59,reading,sad
60,reading,sad
61,reading,sad
62,reading,sad
63,reading,sad
64,reading,sad
65,reading,sad
66,reading,sad
67,reading,sad
68,reading,sad
69,reading,sad
70,reading,sad
71,reading,sad
72,reading,sad
73,reading,sad
74,reading,sad
75,reading,sad
76,reading,sad
77,reading,sad
78,reading,sad
79,reading,sad
80,reading,sad
81,reading,sad
82,reading,sad
83,reading,sad
84,reading,sad
85,reading,sad
86,reading,sad
87,reading,sad
88,reading,sad
89,reading,sad
90,reading,sad
91,reading,sad
92,reading,sad
93,reading,sad
94,reading,sad
95,reading,sad
96,reading,sad
97,reading,sad
98,reading,sad
99,reading,sad
100,reading,sad
101,reading,sad
102,reading,sad
103,reading,sad
104,reading,N/A
105,reading,N/A
106,reading,N/A
107,reading,N/A
108,reading,N/A
109,reading,N/A
110,reading,N/A
111,reading,N/A
112,reading,N/A
113,reading,N/A
114,reading,N/A
115,reading,N/A
116,reading,N/A
117,reading,N/A
118,reading,N/A
119,reading,N/A
120,reading,N/A
121,reading,N/A
122,reading,N/A
123,reading,N/A
124,reading,N/A
125,reading,N/A
126,reading,N/A
127,reading,N/A
128,reading,N/A
129,reading,N/A
130,reading,N/A
131,reading,N/A
132,reading,N/A
133,reading,N/A
134,reading,N/A
135,reading,N/A
136,reading,N/A
137,reading,N/A
138,reading,N/A
139,reading,N/A
140,reading,N/A
141,reading,N/A
142,reading,N/A
143,reading,sad
144,reading,sad
145,reading,sad
146,reading,sad
147,reading,sad
148,reading,sad
149,reading,sad
150,reading,sad
151,reading,sad
152,reading,sad
153,reading,sad
154,reading,sad
155,reading,sad
156,reading,sad
157,reading,sad
158,reading,sad
